player,team,position,league,gls_p90_pct,ast_p90_pct,weight_source,league_strength
Orlando Gill,Paraguay,GK,ARG-Primera Division,0.0,0.0,gk_neutral,0.8781284004352556
Dayne St. Clair,Canada,GK,USA-MLS,0.0,0.0,gk_neutral,0.8531011969532101
Joan García,Spain,GK,ESP-La Liga,0.0,0.0,gk_neutral,0.942328618063112
Kevin Castañeda,Mexico,MID,MEX-Liga MX,0.8181818181818182,0.6060606060606061,fbref,0.8465723612622414
Samú Costa,Portugal,MID,ESP-La Liga,0.865979381443299,0.4020618556701031,fbref,0.942328618063112
Andrés Andrade,Panama,DEF,AUT-Bundesliga,0.4777777777777778,0.9444444444444444,fbref,0.8291621327529923
Nicolas Seiwald,Austria,MID,GER-Bundesliga,0.1,0.3611111111111111,fbref,0.9412404787812839
Kye Rowles,Australia,DEF,USA-MLS,0.24436090225563908,0.2631578947368421,fbref,0.8531011969532101
Elijah Just,New Zealand,MID,SCO-Premiership,0.5333333333333333,0.9333333333333333,fbref,0.823721436343852
Evan Ndicka,Côte d'Ivoire,DEF,ITA-Serie A,0.8409090909090909,0.3068181818181818,fbref,0.9357997823721436
Christopher Bonsu Baah,Ghana,FWD,SAU-Saudi Pro League,0.6428571428571429,1.0,fbref,0.8193688792165397
Alessandro Circati,Australia,DEF,ITA-Serie A,0.5113636363636364,0.3068181818181818,fbref,0.9357997823721436
Alexis Mac Allister,Argentina,MID,ENG-Premier League,0.32710280373831774,0.6542056074766355,fbref,1.0
Israel Reyes,Mexico,DEF,MEX-Liga MX,0.24074074074074073,0.48148148148148145,fbref,0.8465723612622414
Ghislain Konan,Côte d'Ivoire,DEF,POR-Primeira Liga,0.20238095238095238,0.2857142857142857,fbref,0.8857453754080522
Nathaniel Brown,Germany,DEF,GER-Bundesliga,0.9230769230769231,0.6153846153846154,fbref,0.9412404787812839
Víctor Muñoz,Spain,FWD,ESP-La Liga,0.6463414634146342,0.24390243902439024,fbref,0.942328618063112
Ramiz Zerrouki,Algeria,MID,NED-Eredivisie,0.4236111111111111,0.1597222222222222,fbref,0.8531011969532101
Mory Diaw,Senegal,GK,FRA-Ligue 1,0.0,0.0,gk_neutral,0.9303590859630032
Michael Boxall,New Zealand,DEF,USA-MLS,0.5150375939849624,0.5413533834586466,fbref,0.8531011969532101
Lukás Cerv,Czechia,MID,CZE-First League,0.26785714285714285,0.5357142857142857,fbref,0.8400435255712732
Nico O'Reilly,England,DEF,ENG-Premier League,1.0,0.7884615384615384,fbref,1.0
Érik Lira,Mexico,MID,MEX-Liga MX,0.24074074074074073,0.14814814814814814,fbref,0.8465723612622414
Tsuyoshi Watanabe,Japan,DEF,NED-Eredivisie,0.6962025316455697,0.20253164556962025,fbref,0.8531011969532101
Cristian Roldan,USA,MID,USA-MLS,0.3521739130434783,0.45217391304347826,fbref,0.8531011969532101
Pedro Neto,Portugal,MID,ENG-Premier League,0.4666666666666667,0.8,fbref,1.0
Gabriel Gudmundsson,Sweden,DEF,ENG-Premier League,0.25,0.21153846153846154,fbref,1.0
Ayumu Seko,Japan,DEF,FRA-Ligue 1,0.1388888888888889,0.16666666666666666,fbref,0.9303590859630032
Leo Østigård,Norway,DEF,ITA-Serie A,0.9943181818181818,0.6477272727272727,fbref,0.9357997823721436
José Luis Rodríguez,Panama,MID,MEX-Liga MX,0.5192307692307693,0.8846153846153846,fbref,0.8465723612622414
Aurélien Tchouaméni,France,MID,ESP-La Liga,0.27319587628865977,0.10309278350515463,fbref,0.942328618063112
Diogo Dalot,Portugal,DEF,ENG-Premier League,0.5192307692307693,0.7884615384615384,fbref,1.0
William Saliba,France,DEF,ENG-Premier League,0.515625,0.22916666666666666,fbref,1.0
Gerónimo Rulli,Argentina,GK,FRA-Ligue 1,0.0,0.0,gk_neutral,0.9303590859630032
Montassar Talbi,Tunisia,DEF,FRA-Ligue 1,0.2945205479452055,0.4931506849315068,fbref,0.9303590859630032
Júnior Alonso,Paraguay,DEF,BRA-Serie A,0.4681818181818182,0.5772727272727273,fbref,0.9042437431991294
Joe Scally,USA,DEF,GER-Bundesliga,0.6875,0.5208333333333334,fbref,0.9412404787812839
Nicolás Otamendi,Argentina,DEF,POR-Primeira Liga,0.7142857142857143,0.2857142857142857,fbref,0.8857453754080522
Cristiano Ronaldo,Portugal,FWD,SAU-Saudi Pro League,0.8947368421052632,0.6052631578947368,fbref,0.8193688792165397
Kylian Mbappé,France,FWD,ESP-La Liga,1.0,0.8055555555555556,fbref,0.942328618063112
Cucho Hernández,Colombia,FWD,ESP-La Liga,0.2916666666666667,0.5416666666666666,fbref,0.942328618063112
Agustín Sández,Paraguay,DEF,ARG-Primera Division,0.8333333333333334,0.6401515151515151,fbref,0.8781284004352556
Casemiro,Brazil,MID,ENG-Premier League,0.9345794392523364,0.3037383177570093,fbref,1.0
Marco Pasalic,Croatia,FWD,USA-MLS,0.991304347826087,0.8391304347826087,fbref,0.8531011969532101
Samet Akaydin,Türkiye,DEF,TUR-Super Lig,0.9166666666666666,0.5714285714285714,fbref,0.8563656147986942
Max Arfsten,USA,FWD,USA-MLS,0.9285714285714286,0.8928571428571429,fbref,0.8531011969532101
Jack Hendry,Scotland,DEF,SAU-Saudi Pro League,0.5886075949367089,0.2721518987341772,fbref,0.8193688792165397
Santiago Bueno,Uruguay,DEF,ENG-Premier League,0.9270833333333334,0.5625,fbref,1.0
David Raum,Germany,DEF,GER-Bundesliga,0.8283582089552238,0.9850746268656716,fbref,0.9412404787812839
Carlos Rodríguez,Mexico,MID,MEX-Liga MX,0.3181818181818182,0.3787878787878788,fbref,0.8465723612622414
Adrien Rabiot,France,MID,ITA-Serie A,0.8738317757009346,0.780373831775701,fbref,0.9357997823721436
Marco Friedl,Austria,DEF,GER-Bundesliga,0.4253731343283582,0.26119402985074625,fbref,0.9412404787812839
Anis Hadj Moussa,Algeria,FWD,NED-Eredivisie,0.8846153846153846,0.6025641025641025,fbref,0.8531011969532101
Luciano Valente,Netherlands,MID,NED-Eredivisie,0.2638888888888889,0.9097222222222222,fbref,0.8531011969532101
Abdülkerim Bardakci,Türkiye,DEF,TUR-Super Lig,0.27976190476190477,0.5714285714285714,fbref,0.8563656147986942
Benjamin Nygren,Sweden,FWD,SCO-Premiership,1.0,0.6666666666666666,fbref,0.823721436343852
Axel Witsel,Belgium,MID,ESP-La Liga,0.33505154639175255,0.4020618556701031,fbref,0.942328618063112
Alejandro Grimaldo,Spain,DEF,GER-Bundesliga,0.8277777777777777,0.8333333333333334,fbref,0.9412404787812839
Moisés Ramírez,Ecuador,GK,GRE-Super League,0.0,0.0,gk_neutral,0.8411316648531011
Nico Schlotterbeck,Germany,DEF,GER-Bundesliga,0.9477611940298507,0.5746268656716418,fbref,0.9412404787812839
Musab Al Juwayr,Saudi Arabia,MID,SAU-Saudi Pro League,0.8253968253968254,0.9761904761904762,fbref,0.8193688792165397
