player,team,position,default_xmins
Nathaniel Brown,Germany,DEF,57.57
Nico Schlotterbeck,Germany,DEF,73.09
Waldemar Anton,Germany,DEF,14.41
Kai Havertz,Germany,FWD,75.61
Leroy Sané,Germany,MID,66.73
Deniz Undav,Germany,FWD,5.39
Nick Woltemade,Germany,FWD,23.9
Alexander Nübel,Germany,GK,1.1
Oliver Baumann,Germany,GK,6.9
Pascal Groß,Germany,MID,18.59
Leon Goretzka,Germany,MID,28.21
Joshua Kimmich,Germany,DEF,83.28
Florian Wirtz,Germany,MID,75.75
Benjamin Asare,Ghana,GK,87.42
Woodensky Pierre,Haiti,MID,0.53
Jean-Ricner Bellegarde,Haiti,MID,82.25
Carl Sainté,Haiti,MID,10.76
Danley Jean Jacques,Haiti,MID,82.45
Jean-Kévin Duverne,Haiti,DEF,82.21
Carlens Arcus,Haiti,DEF,81.03
Hannes Delcroix,Haiti,DEF,19.12
Ricardo Adé,Haiti,DEF,86.08
Martin Expérience,Haiti,DEF,34.08
Wilguens Paugain,Haiti,DEF,5.63
Duke Lacroix,Haiti,DEF,84.76
Wilson Isidor,Haiti,FWD,0.53
Duckens Nazon,Haiti,FWD,64.86
Frantzdy Pierrot,Haiti,FWD,76.72
Derrick Etienne,Haiti,FWD,11.43
Louicius Deedson,Haiti,FWD,54.86
Yassin Fortuné,Haiti,FWD,6.97
Josué Casimir,Haiti,FWD,26.97
Ruben Providence,Haiti,FWD,65.79
Johny Placide,Haiti,GK,85.56
Alexandre Pierre,Haiti,GK,3.01
Josué Duverger,Haiti,GK,3.01
Amir Mohammad Razzaghinia,IR Iran,MID,0.42
Mohammad Ghorbani,IR Iran,MID,16.8
Ramin Rezaeian,IR Iran,DEF,18.25
Hossein Kanani,IR Iran,DEF,81.89
Milad Mohammadi,IR Iran,DEF,79.52
Shoja Khalilzadeh,IR Iran,DEF,84.09
Ehsan Hajisafi,IR Iran,DEF,6.43
Saleh Hardani,IR Iran,DEF,70.04
Ali Nemati,IR Iran,DEF,33.77
Aria Yousefi,IR Iran,DEF,18.78
Danial Eiri,IR Iran,DEF,0.42
Mehdi Taremi,IR Iran,FWD,85.62
Alireza Jahanbakhsh,IR Iran,FWD,68.49
Saman Ghoddos,IR Iran,FWD,72.86
Ali Alipour,IR Iran,FWD,2.93
Dennis Dargahi,IR Iran,FWD,0.42
Amirhossein Hosseinzadeh,IR Iran,FWD,6.69
Alireza Beiranvand,IR Iran,GK,86.25
Payam Niazmand,IR Iran,GK,1.81
Hossein Hosseini,IR Iran,GK,3.2
Mehdi Torabi,IR Iran,MID,15.48
Saeid Ezatolahi,IR Iran,MID,79.64
Mohammad Mohebi,IR Iran,MID,78.99
Mehdi Ghayedi,IR Iran,MID,64.54
Zaid Ismael,Iraq,MID,2.32
Marko Farji,Iraq,MID,14.87
Kevin Yakob,Iraq,MID,6.82
Amir Al Ammari,Iraq,MID,81.54
Aimar Sher,Iraq,MID,14.92
Merchas Doski,Iraq,DEF,88.57
Frans Putros,Iraq,DEF,15.67
Rebin Sulaka,Iraq,DEF,79.51
Hussein Ali,Iraq,DEF,74.67
Zaid Tahseen,Iraq,DEF,79.27
Munaf Younus,Iraq,DEF,30.97
Akam Hashim,Iraq,DEF,17.67
Ahmed Maknzi,Iraq,DEF,2.32
Aymen Hussein,Iraq,FWD,76.92
Mohanad Ali,Iraq,FWD,2.32
Ali Jasim,Iraq,FWD,71.88
Ali Al Hamadi,Iraq,FWD,12.02
Youssef Amyn,Iraq,FWD,61.32
Ali Yousif,Iraq,FWD,3.72
Ahmed Basil,Iraq,GK,5.89
Fahad Talib,Iraq,GK,2.32
Zidane Iqbal,Iraq,MID,61.67
Ibrahim Bayesh,Iraq,MID,77.1
Kaishu Sano,Japan,MID,71.62
Yukinari Sugawara,Japan,DEF,21.75
Tsuyoshi Watanabe,Japan,DEF,69.86
Hiroki Ito,Japan,DEF,79.09
Shogo Taniguchi,Japan,DEF,75.15
Ayumu Seko,Japan,DEF,21.82
Junnosuke Suzuki,Japan,DEF,6.23
Junya Ito,Japan,MID,27.64
Daizen Maeda,Japan,MID,56.08
Keito Nakamura,Japan,MID,52.8
Ayase Ueda,Japan,FWD,75.71
Koki Ogawa,Japan,FWD,21.89
Keisuke Goto,Japan,FWD,0.0
