player,team,position,matched_club,matched_intl,club_suggestion,club_score,intl_suggestion,intl_score
Jackson Porozo,Ecuador,DEF,True,False,Jackson Porozo,100.0,Janner Corozo,66.7
John Yeboah,Ecuador,MID,False,True,John Mercado,60.9,John Yeboah,100.0
Jordy Caicedo,Ecuador,FWD,False,True,Félix Torres Caicedo,85.5,Jordy Caicedo,100.0
Anthony Valencia,Ecuador,MID,True,False,Anthony Valencia,100.0,Enner Valencia,73.3
Jeremy Arévalo,Ecuador,FWD,True,False,Jeremy Arévalo,100.0,Jeremy Sarmiento,73.3
Gonzalo Valle,Ecuador,GK,False,True,Gonzalo Plata,69.2,Gonzalo Valle,100.0
Marwan Attia,Egypt,MID,False,True,,,Marwan Attia,100.0
Zizo,Egypt,MID,False,False,Ahmed Hegazi,60.0,,
Hamdi Fathy,Egypt,MID,False,False,,,Hamdy Fathy,90.9
Emam Ashour,Egypt,MID,False,True,,,Emam Ashour,100.0
Mahmoud Saber,Egypt,MID,False,True,,,Mahmoud Saber,100.0
Mohamed Abdelmonem,Egypt,DEF,False,True,Mohamed Salah,66.5,Mohamed Abdelmonem,100.0
Ahmed Fatouh,Egypt,DEF,False,False,,,Ahmed Aboul-Fotouh,85.5
Mohamed Hany,Egypt,DEF,False,True,Mohamed Salah,72.0,Mohamed Hany,100.0
Ramy Rabia,Egypt,DEF,False,True,,,Ramy Rabia,100.0
Hossam Abdelmaguid,Egypt,DEF,False,False,Sam Morsy,61.1,Hossam Abdelmegeed,83.3
Tarek Alaa,Egypt,DEF,False,False,,,,
Yasser Ibrahim,Egypt,DEF,False,True,Mohamed Yasser,61.1,Yasser Ibrahim,100.0
Trezeguet,Egypt,FWD,False,True,,,Trézéguet,100.0
Haissem Hassan,Egypt,FWD,True,False,Haissem Hassan,100.0,,
Mohamed El Shenawy,Egypt,GK,False,False,Mohamed Salah,66.5,Mohamed El-Shenawy,94.4
El Mahdy Soliman,Egypt,GK,False,False,,,,
Mostafa Shobeir,Egypt,GK,False,False,Mostafa Mohamed,66.7,Mostafa Shoubir,93.3
Mohamed Alaa,Egypt,GK,False,False,Mohamed Salah,88.0,Mohamed Salah,88.0
Mohanad Lasheen,Egypt,MID,False,True,Mohamed Salah,64.3,Mohanad Lasheen,100.0
Ibrahim Adel,Egypt,MID,False,True,,,Ibrahim Adel,100.0
Tino Livramento,England,DEF,False,False,Valentino Livramento,85.7,Valentino Livramento,85.7
James Trafford,England,GK,True,False,James Trafford,100.0,Marcus Rashford,62.1
Maxence Lacroix,France,DEF,True,False,Maxence Lacroix,100.0,,
Brice Samba,France,GK,True,False,Brice Samba,100.0,,
Lennart Karl,Germany,MID,True,False,Lennart Karl,100.0,,
Benjamin Asare,Ghana,GK,False,True,Benjamin Nyarko,75.9,Benjamin Asare,100.0
Woodensky Pierre,Haiti,MID,False,False,Nelson Pierre,62.1,Woobens Pacius,60.0
Leverton Pierre,Haiti,MID,False,True,Nelson Pierre,71.4,Leverton Pierre,100.0
Carl Sainté,Haiti,MID,False,False,,,Carl Fred Sainté,95.0
Ricardo Adé,Haiti,DEF,False,True,,,Ricardo Adé,100.0
Martin Expérience,Haiti,DEF,False,True,,,Martin Expérience,100.0
Duke Lacroix,Haiti,DEF,False,True,,,Duke Lacroix,100.0
Wilson Isidor,Haiti,FWD,True,False,Wilson Isidor,100.0,,
Duckens Nazon,Haiti,FWD,False,True,,,Duckens Nazon,100.0
Yassin Fortuné,Haiti,FWD,False,True,,,Yassin Fortune,100.0
Ruben Providence,Haiti,FWD,False,True,,,Ruben Providence,100.0
Johny Placide,Haiti,GK,False,True,,,Johny Placide,100.0
Alexandre Pierre,Haiti,GK,False,True,Nelson Pierre,62.1,Alexandre Pierre,100.0
Josué Duverger,Haiti,GK,False,True,,,Josué Duverger,100.0
Amir Mohammad Razzaghinia,IR Iran,MID,False,False,,,Amirmohammad Razaghinia,95.8
Hadi Habibinejad,IR Iran,MID,False,False,,,,
Mohammad Ghorbani,IR Iran,MID,False,False,,,Mohammed Ghorbani,94.1
Ramin Rezaeian,IR Iran,DEF,False,True,,,Ramin Rezaeian,100.0
Hossein Kanani,IR Iran,DEF,False,False,Majid Hosseini,67.9,Hossein Kanaanizadegan,85.5
Milad Mohammadi,IR Iran,DEF,False,True,,,Milad Mohammadi,100.0
Shoja Khalilzadeh,IR Iran,DEF,False,True,,,Shoja' Khalilzadeh,100.0
Ehsan Hajisafi,IR Iran,DEF,False,False,,,Ehsan Hajsafi,96.3
Saleh Hardani,IR Iran,DEF,False,True,,,Saleh Hardani,100.0
Ali Nemati,IR Iran,DEF,False,True,Ali Karimi,60.0,Ali Nemati,100.0
Aria Yousefi,IR Iran,DEF,False,False,,,Arya Yousefi,91.7
Danial Eiri,IR Iran,DEF,False,False,,,,
Saman Ghoddos,IR Iran,FWD,False,True,,,Saman Ghoddos,100.0
Ali Alipour,IR Iran,FWD,False,True,,,Ali Alipour,100.0
Dennis Dargahi,IR Iran,FWD,False,False,,,,
Amirhossein Hosseinzadeh,IR Iran,FWD,False,True,Majid Hosseini,64.8,Amirhossein Hosseinzadeh,100.0
Amirhossein Mahmoudi,IR Iran,FWD,False,False,Majid Hosseini,61.5,Amirhossein Hosseinzadeh,68.2
Alireza Beiranvand,IR Iran,GK,False,True,,,Alireza Beiranvand,100.0
Payam Niazmand,IR Iran,GK,False,True,,,Payam Niazmand,100.0
Hossein Hosseini,IR Iran,GK,False,True,Majid Hosseini,69.1,Hossein Hosseini,100.0
Mohammad Khalifeh,IR Iran,GK,False,False,,,Mohammad Karimi,75.0
Omid Noorafkan,IR Iran,MID,False,True,,,Omid Noorafkan,100.0
Mehdi Torabi,IR Iran,MID,False,True,Mehdi Taremi,75.0,Mehdi Torabi,100.0
Saeid Ezatolahi,IR Iran,MID,False,True,,,Saeid Ezatolahi,100.0
Mohammad Mohebi,IR Iran,MID,False,False,,,Mohammad Mohebbi,96.8
Mehdi Ghayedi,IR Iran,MID,False,False,Mehdi Taremi,72.0,Mehdi Ghaedi,96.0
Zaid Ismael,Iraq,MID,False,False,Zidane Iqbal,60.9,Zidane Iqbal,60.9
Marko Farji,Iraq,MID,False,True,,,Marko Farji,100.0
Hasan Abdulkareem,Iraq,MID,False,True,Hayder Abdulkareem,80.0,Hasan Abdulkareem,100.0
Peter Gwargis,Iraq,MID,False,True,,,Peter Gwargis,100.0
Kevin Yakob,Iraq,MID,False,True,,,Kevin Yakob,100.0
Amir Al Ammari,Iraq,MID,False,True,Ali Al Hamadi,74.1,Amir Al Ammari,100.0
Aimar Sher,Iraq,MID,False,True,,,Aimar Sher,100.0
Frans Putros,Iraq,DEF,False,False,,,Frans Dhia Putros,95.0
Rebin Sulaka,Iraq,DEF,False,True,,,Rebin Sulaka,100.0
Maytham Jabbar,Iraq,DEF,False,False,,,,
Hussein Ali,Iraq,DEF,False,True,,,Hussein Ali,100.0
Zaid Tahseen,Iraq,DEF,False,True,,,Zaid Tahseen,100.0
Munaf Younus,Iraq,DEF,False,False,,,Munaf Yunus,95.7
Akam Hashim,Iraq,DEF,False,True,Ali Jasim,60.0,Akam Hashim,100.0
Ahmed Maknzi,Iraq,DEF,False,False,,,Ahmed Basil,69.6
Aymen Hussein,Iraq,FWD,False,False,,,Ayman Hussein,92.3
Mohanad Ali,Iraq,FWD,False,False,Ali Al Hamadi,63.3,Mohammed Qasim,64.0
Youssef Amyn,Iraq,FWD,False,True,,,Youssef Amyn,100.0
Ali Yousif,Iraq,FWD,False,True,Ali Jasim,63.2,Ali Yousif,100.0
Karar Nabeel,Iraq,MID,False,False,,,,
Ahmed Basil,Iraq,GK,False,True,,,Ahmed Basil,100.0
Fahad Talib,Iraq,GK,False,False,,,,
Kumel Saadi,Iraq,GK,False,False,,,,
Keito Nakamura,Japan,MID,False,True,Takumi Nakamura,75.9,Keito Nakamura,100.0
