id,player,position,price,team,abbr,4_Pts,4_PtsCond,4_PPlay,4_xMins,4_xG,4_xA,4_TeamXG,4_TeamXGA,4_PCleanSheet,5_Pts,5_PtsCond,5_PPlay,5_xMins,5_xG,5_xA,5_TeamXG,5_TeamXGA,5_PCleanSheet,6_Pts,6_PtsCond,6_PPlay,6_xMins,6_xG,6_xA,6_TeamXG,6_TeamXGA,6_PCleanSheet,7_Pts,7_PtsCond,7_PPlay,7_xMins,7_xG,7_xA,7_TeamXG,7_TeamXGA,7_PCleanSheet,8_Pts,8_PtsCond,8_PPlay,8_xMins,8_xG,8_xA,8_TeamXG,8_TeamXGA,8_PCleanSheet,ko_total
256,Luis Díaz,MID,8.1,Colombia,COL,6.132,6.132,1.0,83.88,0.513,0.205,1.736,0.827,0.437,3.781,5.231,0.723,83.88,0.403,0.161,1.362,1.1,0.333,1.94,4.692,0.413,83.88,0.336,0.134,1.135,1.283,0.277,0.887,4.805,0.185,83.88,0.349,0.139,1.18,1.226,0.294,0.876,4.743,0.185,83.88,0.342,0.136,1.155,1.256,0.285,13.62
505,Désiré Doué,MID,7.5,France,FRA,4.886,4.886,1.0,63.94,0.228,0.136,2.252,0.701,0.496,3.416,4.119,0.829,63.94,0.169,0.101,1.67,1.121,0.326,2.281,4.319,0.528,63.94,0.18,0.107,1.774,0.873,0.418,1.5,3.913,0.383,63.94,0.148,0.089,1.464,1.094,0.335,1.503,3.921,0.383,63.94,0.149,0.089,1.471,1.094,0.335,13.59
1259,Chris Richards,DEF,4.1,USA,USA,5.757,5.757,1.0,82.73,0.071,0.044,2.391,0.769,0.464,3.958,4.795,0.825,82.73,0.05,0.031,1.691,0.986,0.373,1.852,3.286,0.564,82.73,0.034,0.022,1.164,1.476,0.229,0.805,3.444,0.234,82.73,0.037,0.023,1.264,1.423,0.241,0.79,3.378,0.234,82.73,0.035,0.022,1.179,1.439,0.237,13.16
270,James Rodríguez,MID,6.5,Colombia,COL,5.837,5.837,1.0,71.12,0.21,0.407,1.736,0.827,0.437,3.646,5.045,0.723,71.12,0.165,0.319,1.362,1.1,0.333,1.886,4.561,0.413,71.12,0.137,0.266,1.135,1.283,0.277,0.861,4.663,0.185,71.12,0.143,0.277,1.18,1.226,0.294,0.851,4.607,0.185,71.12,0.14,0.271,1.155,1.256,0.285,13.08
466,John Stones,DEF,4.6,England,ENG,5.565,5.565,1.0,80.8,0.046,0.061,1.991,0.785,0.456,3.424,4.419,0.775,80.8,0.03,0.04,1.322,1.068,0.344,1.894,4.326,0.438,80.8,0.033,0.044,1.45,1.113,0.329,1.066,4.105,0.26,80.8,0.03,0.039,1.283,1.171,0.31,1.106,4.261,0.26,80.8,0.032,0.043,1.395,1.129,0.323,13.06
847,Julian Ryerson,DEF,4.2,Norway,NOR,6.043,6.043,1.0,84.13,0.034,0.335,2.018,0.897,0.408,3.222,4.318,0.746,84.13,0.025,0.239,1.441,1.365,0.255,1.895,4.936,0.384,84.13,0.026,0.249,1.498,1.139,0.32,0.913,4.037,0.226,84.13,0.022,0.209,1.26,1.422,0.241,0.948,4.191,0.226,84.13,0.023,0.22,1.324,1.378,0.252,13.02
1258,Antonee Robinson,DEF,5.0,USA,USA,5.586,5.586,1.0,78.46,0.047,0.049,2.391,0.769,0.464,3.856,4.671,0.825,78.46,0.033,0.034,1.691,0.986,0.373,1.803,3.198,0.564,78.46,0.023,0.024,1.164,1.476,0.229,0.783,3.349,0.234,78.46,0.025,0.026,1.264,1.423,0.241,0.769,3.289,0.234,78.46,0.023,0.024,1.179,1.439,0.237,12.8
1088,Marc Cucurella,DEF,5.1,Spain,ESP,4.516,4.516,1.0,86.93,0.053,0.084,2.213,0.839,0.432,3.111,3.995,0.779,86.93,0.04,0.064,1.682,0.981,0.375,2.256,4.266,0.529,86.93,0.047,0.074,1.942,0.903,0.405,1.461,3.722,0.392,86.93,0.039,0.062,1.638,1.088,0.337,1.435,3.656,0.392,86.93,0.036,0.058,1.515,1.101,0.332,12.78
1430,Jules Koundé,DEF,5.4,France,FRA,4.757,4.757,1.0,82.68,0.042,0.06,2.252,0.701,0.496,2.931,3.534,0.829,82.68,0.031,0.045,1.67,1.121,0.326,2.203,4.172,0.528,82.68,0.033,0.048,1.774,0.873,0.418,1.363,3.554,0.383,82.68,0.027,0.039,1.464,1.094,0.335,1.364,3.557,0.383,82.68,0.027,0.039,1.471,1.094,0.335,12.62
1261,Tim Ream,DEF,3.9,USA,USA,5.505,5.505,1.0,82.66,0.042,0.038,2.391,0.769,0.464,3.807,4.612,0.825,82.66,0.03,0.027,1.691,0.986,0.373,1.778,3.155,0.564,82.66,0.021,0.018,1.164,1.476,0.229,0.772,3.302,0.234,82.66,0.022,0.02,1.264,1.423,0.241,0.759,3.246,0.234,82.66,0.021,0.019,1.179,1.439,0.237,12.62
1267,Folarin Balogun,FWD,6.0,USA,USA,5.245,5.245,1.0,71.15,0.409,0.156,2.391,0.769,0.464,3.579,4.336,0.825,71.15,0.289,0.11,1.691,0.986,0.373,2.047,3.631,0.564,71.15,0.199,0.076,1.164,1.476,0.229,0.88,3.766,0.234,71.15,0.216,0.082,1.264,1.423,0.241,0.854,3.652,0.234,71.15,0.202,0.077,1.179,1.439,0.237,12.6
528,Kai Havertz,FWD,7.8,Germany,GER,5.289,5.289,1.0,75.61,0.57,0.147,2.284,0.886,0.412,3.262,4.141,0.788,75.61,0.371,0.096,1.487,1.424,0.241,1.833,4.631,0.396,75.61,0.456,0.117,1.827,1.104,0.332,1.101,4.176,0.264,75.61,0.377,0.097,1.511,1.396,0.248,1.08,4.095,0.264,75.61,0.363,0.093,1.455,1.419,0.242,12.56
1429,William Saliba,DEF,5.3,France,FRA,4.697,4.697,1.0,87.62,0.046,0.032,2.252,0.701,0.496,2.895,3.49,0.829,87.62,0.034,0.024,1.67,1.121,0.326,2.179,4.125,0.528,87.62,0.036,0.025,1.774,0.873,0.418,1.348,3.515,0.383,87.62,0.03,0.021,1.464,1.094,0.335,1.349,3.518,0.383,87.62,0.03,0.021,1.471,1.094,0.335,12.47
939,Bruno Fernandes,MID,8.5,Portugal,POR,5.367,5.367,1.0,85.32,0.31,0.364,1.906,0.876,0.417,3.363,4.58,0.734,85.32,0.239,0.281,1.471,1.191,0.304,1.844,4.438,0.416,85.32,0.225,0.265,1.386,1.226,0.294,0.958,4.365,0.22,85.32,0.218,0.257,1.343,1.252,0.286,0.937,4.269,0.22,85.32,0.209,0.246,1.285,1.275,0.279,12.47
1264,Alexander Freeman,DEF,4.0,USA,USA,5.375,5.375,1.0,81.62,0.106,0.089,2.391,0.769,0.464,3.671,4.448,0.825,81.62,0.075,0.063,1.691,0.986,0.373,1.736,3.08,0.564,81.62,0.052,0.043,1.164,1.476,0.229,0.756,3.232,0.234,81.62,0.056,0.047,1.264,1.423,0.241,0.739,3.161,0.234,81.62,0.052,0.044,1.179,1.439,0.237,12.28
1573,Cristiano Ronaldo,FWD,10.0,Portugal,POR,5.26,5.26,1.0,79.51,0.618,0.056,1.906,0.876,0.417,3.316,4.515,0.734,79.51,0.477,0.043,1.471,1.191,0.304,1.816,4.37,0.416,79.51,0.45,0.041,1.386,1.226,0.294,0.944,4.297,0.22,79.51,0.436,0.04,1.343,1.252,0.286,0.922,4.198,0.22,79.51,0.417,0.038,1.285,1.275,0.279,12.26
1086,Aymeric Laporte,DEF,5.5,Spain,ESP,4.303,4.303,1.0,84.31,0.042,0.04,2.213,0.839,0.432,2.985,3.833,0.779,84.31,0.032,0.03,1.682,0.981,0.375,2.157,4.079,0.529,84.31,0.037,0.035,1.942,0.903,0.405,1.399,3.564,0.392,84.31,0.031,0.029,1.638,1.088,0.337,1.378,3.511,0.392,84.31,0.029,0.027,1.515,1.101,0.332,12.22
1093,Ferran Torres,FWD,7.8,Spain,ESP,4.455,4.455,1.0,57.92,0.492,0.072,2.213,0.839,0.432,2.85,3.66,0.779,57.92,0.374,0.055,1.682,0.981,0.375,2.141,4.05,0.529,57.92,0.432,0.063,1.942,0.903,0.405,1.41,3.592,0.392,57.92,0.364,0.053,1.638,1.088,0.337,1.336,3.405,0.392,57.92,0.337,0.049,1.515,1.101,0.332,12.19
1998,Fabián Ruiz,MID,6.8,Spain,ESP,4.228,4.228,1.0,75.67,0.125,0.176,2.213,0.839,0.432,2.924,3.754,0.779,75.67,0.095,0.134,1.682,0.981,0.375,2.109,3.989,0.529,75.67,0.109,0.154,1.942,0.903,0.405,1.444,3.681,0.392,75.67,0.092,0.13,1.638,1.088,0.337,1.404,3.578,0.392,75.67,0.085,0.121,1.515,1.101,0.332,12.11
1709,Reece James,DEF,5.2,England,ENG,5.127,5.127,1.0,71.0,0.051,0.168,1.991,0.785,0.456,3.14,4.053,0.775,71.0,0.034,0.111,1.322,1.068,0.344,1.752,4.001,0.438,71.0,0.037,0.122,1.45,1.113,0.329,0.983,3.785,0.26,71.0,0.033,0.108,1.283,1.171,0.31,1.022,3.936,0.26,71.0,0.036,0.117,1.395,1.129,0.323,12.02
742,Jesús Gallardo,DEF,4.7,Mexico,MEX,5.907,5.907,1.0,73.24,0.068,0.099,1.817,0.781,0.458,3.708,4.865,0.762,73.24,0.052,0.076,1.394,1.028,0.358,1.436,3.207,0.448,73.24,0.037,0.054,0.995,1.585,0.205,0.446,2.931,0.152,73.24,0.032,0.047,0.864,1.68,0.186,0.498,3.27,0.152,73.24,0.037,0.054,0.989,1.555,0.211,12.0
1089,Pau Cubarsí,DEF,5.0,Spain,ESP,4.219,4.219,1.0,70.93,0.037,0.024,2.213,0.839,0.432,2.936,3.769,0.779,70.93,0.028,0.018,1.682,0.981,0.375,2.118,4.006,0.529,70.93,0.032,0.021,1.942,0.903,0.405,1.374,3.503,0.392,70.93,0.027,0.018,1.638,1.088,0.337,1.355,3.453,0.392,70.93,0.025,0.016,1.515,1.101,0.332,12.0
748,Raúl Jiménez,FWD,7.0,Mexico,MEX,5.469,5.469,1.0,74.99,0.457,0.108,1.817,0.781,0.458,3.584,4.701,0.762,74.99,0.35,0.083,1.394,1.028,0.358,1.772,3.958,0.448,74.99,0.25,0.059,0.995,1.585,0.205,0.565,3.71,0.152,74.99,0.217,0.051,0.864,1.68,0.186,0.601,3.948,0.152,74.99,0.249,0.059,0.989,1.555,0.211,11.99
1094,Mikel Oyarzabal,FWD,8.1,Spain,ESP,4.104,4.104,1.0,64.94,0.346,0.125,2.213,0.839,0.432,2.803,3.6,0.779,64.94,0.263,0.095,1.682,0.981,0.375,2.033,3.846,0.529,64.94,0.304,0.109,1.942,0.903,0.405,1.396,3.557,0.392,64.94,0.256,0.092,1.638,1.088,0.337,1.35,3.441,0.392,64.94,0.237,0.085,1.515,1.101,0.332,11.69
2031,Sergiño Dest,DEF,4.3,USA,USA,5.082,5.082,1.0,78.68,0.053,0.135,2.391,0.769,0.464,3.495,4.235,0.825,78.68,0.037,0.096,1.691,0.986,0.373,1.654,2.934,0.564,78.68,0.026,0.066,1.164,1.476,0.229,0.719,3.075,0.234,78.68,0.028,0.071,1.264,1.423,0.241,0.704,3.014,0.234,78.68,0.026,0.067,1.179,1.439,0.237,11.65
252,Johan Mojica,DEF,3.9,Colombia,COL,5.404,5.404,1.0,84.61,0.041,0.068,1.736,0.827,0.437,3.174,4.391,0.723,84.61,0.032,0.053,1.362,1.1,0.333,1.571,3.801,0.413,84.61,0.027,0.044,1.135,1.283,0.277,0.733,3.97,0.185,84.61,0.028,0.046,1.18,1.226,0.294,0.716,3.878,0.185,84.61,0.027,0.045,1.155,1.256,0.285,11.6
1366,Raphinha,MID,8.2,Brazil,BRA,4.927,4.927,1.0,79.79,0.33,0.204,1.734,1.09,0.336,2.999,4.545,0.66,79.79,0.287,0.178,1.511,1.245,0.288,1.709,4.608,0.371,79.79,0.29,0.179,1.524,1.107,0.331,0.938,4.162,0.225,79.79,0.243,0.15,1.276,1.366,0.255,0.995,4.415,0.225,79.79,0.272,0.168,1.431,1.287,0.276,11.57
1271,Matt Freese,GK,4.2,USA,USA,5.013,5.013,1.0,81.85,0.0,0.0,2.391,0.769,0.464,3.51,4.253,0.825,81.85,0.0,0.0,1.691,0.986,0.373,1.632,2.896,0.564,81.85,0.0,0.0,1.164,1.476,0.229,0.707,3.023,0.234,81.85,0.0,0.0,1.264,1.423,0.241,0.698,2.984,0.234,81.85,0.0,0.0,1.179,1.439,0.237,11.56
523,Jonathan Tah,DEF,5.3,Germany,GER,5.231,5.231,1.0,78.17,0.057,0.043,2.284,0.886,0.412,2.728,3.463,0.788,78.17,0.037,0.028,1.487,1.424,0.241,1.748,4.414,0.396,78.17,0.046,0.034,1.827,1.104,0.332,0.933,3.539,0.264,78.17,0.038,0.028,1.511,1.396,0.248,0.913,3.464,0.264,78.17,0.037,0.027,1.455,1.419,0.242,11.55
741,César Montes,DEF,4.7,Mexico,MEX,5.692,5.692,1.0,79.99,0.056,0.069,1.817,0.781,0.458,3.577,4.693,0.762,79.99,0.043,0.053,1.394,1.028,0.358,1.378,3.077,0.448,79.99,0.031,0.038,0.995,1.585,0.205,0.429,2.817,0.152,79.99,0.027,0.033,0.864,1.68,0.186,0.478,3.14,0.152,79.99,0.03,0.037,0.989,1.555,0.211,11.55
250,Dávinson Sánchez,DEF,4.3,Colombia,COL,5.343,5.343,1.0,85.24,0.056,0.023,1.736,0.827,0.437,3.135,4.338,0.723,85.24,0.044,0.018,1.362,1.1,0.333,1.552,3.755,0.413,85.24,0.036,0.015,1.135,1.283,0.277,0.724,3.922,0.185,85.24,0.038,0.016,1.18,1.226,0.294,0.707,3.831,0.185,85.24,0.037,0.016,1.155,1.256,0.285,11.46
506,Mike Maignan,GK,5.0,France,FRA,4.282,4.282,1.0,88.12,0.0,0.0,2.252,0.701,0.496,2.639,3.182,0.829,88.12,0.0,0.0,1.67,1.121,0.326,2.006,3.798,0.528,88.12,0.0,0.0,1.774,0.873,0.418,1.244,3.245,0.383,88.12,0.0,0.0,1.464,1.094,0.335,1.245,3.247,0.383,88.12,0.0,0.0,1.471,1.094,0.335,11.42
919,Gonçalo Inácio,DEF,4.6,Portugal,POR,5.129,5.129,1.0,70.06,0.038,0.047,1.906,0.876,0.417,2.964,4.036,0.734,70.06,0.03,0.036,1.471,1.191,0.304,1.628,3.919,0.416,70.06,0.028,0.034,1.386,1.226,0.294,0.842,3.834,0.22,70.06,0.027,0.033,1.343,1.252,0.286,0.825,3.758,0.22,70.06,0.026,0.032,1.285,1.275,0.279,11.39
249,Jhon Lucumí,DEF,4.3,Colombia,COL,5.293,5.293,1.0,84.62,0.048,0.025,1.736,0.827,0.437,3.107,4.299,0.723,84.62,0.038,0.02,1.362,1.1,0.333,1.538,3.721,0.413,84.62,0.032,0.017,1.135,1.283,0.277,0.718,3.887,0.185,84.62,0.033,0.017,1.18,1.226,0.294,0.701,3.797,0.185,84.62,0.032,0.017,1.155,1.256,0.285,11.36
510,Adrien Rabiot,MID,6.4,France,FRA,4.012,4.012,1.0,65.26,0.146,0.079,2.252,0.701,0.496,2.868,3.458,0.829,65.26,0.108,0.059,1.67,1.121,0.326,1.911,3.619,0.528,65.26,0.115,0.063,1.774,0.873,0.418,1.277,3.33,0.383,65.26,0.095,0.052,1.464,1.094,0.335,1.279,3.335,0.383,65.26,0.095,0.052,1.471,1.094,0.335,11.35
1255,Weston McKennie,MID,6.1,USA,USA,4.618,4.618,1.0,77.46,0.178,0.167,2.391,0.769,0.464,3.233,3.918,0.825,77.46,0.126,0.118,1.691,0.986,0.373,1.862,3.303,0.564,77.46,0.087,0.081,1.164,1.476,0.229,0.796,3.405,0.234,77.46,0.094,0.088,1.264,1.423,0.241,0.777,3.325,0.234,77.46,0.088,0.082,1.179,1.439,0.237,11.29
1104,Rodri,MID,7.5,Spain,ESP,3.918,3.918,1.0,67.53,0.172,0.03,2.213,0.839,0.432,2.734,3.511,0.779,67.53,0.13,0.023,1.682,0.981,0.375,1.963,3.713,0.529,67.53,0.151,0.027,1.942,0.903,0.405,1.351,3.443,0.392,67.53,0.127,0.022,1.638,1.088,0.337,1.318,3.358,0.392,67.53,0.117,0.021,1.515,1.101,0.332,11.28
1684,Martin Ødegaard,MID,7.7,Norway,NOR,4.888,4.888,1.0,81.86,0.091,0.428,2.018,0.897,0.408,3.029,4.06,0.746,81.86,0.065,0.306,1.441,1.365,0.255,1.61,4.192,0.384,81.86,0.068,0.318,1.498,1.139,0.32,0.866,3.829,0.226,81.86,0.057,0.267,1.26,1.422,0.241,0.885,3.916,0.226,81.86,0.06,0.281,1.324,1.378,0.252,11.28
