Rk,Player,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,confederation
532,Lucas Hernández,DF,France,29,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
533,Theo Hernández,DF,France,28,1997,3,3,270,3.0,0,1,1,0,0,0,1,0,0.0,0.33,0.33,0.0,0.33,Matches,UEFA
535,Aaron Hickey,DF,Scotland,23,2002,5,4,289,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
536,Isak Hien,DF,Sweden,27,1999,6,6,486,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
537,George Hirst,FW,Scotland,26,1999,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
539,Adam Hložek,MF,Czechia,23,2002,1,1,27,0.3,1,0,1,1,0,0,0,0,3.33,0.0,3.33,3.33,3.33,Matches,UEFA
543,Tomáš Holeš,DF,Czechia,32,1993,5,5,337,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
544,Emil Holm,DF,Sweden,25,2000,2,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
545,Mathias Honsak,DF,Austria,29,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
551,Robin Hranáč,DF,Czechia,26,2000,4,3,372,4.1,1,0,1,1,0,0,1,0,0.24,0.0,0.24,0.24,0.24,Matches,UEFA
554,Dean Huijsen,DF,Spain,20,2005,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
566,Borja Iglesias,FW,Spain,33,1993,3,0,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
572,Gonçalo Inácio,DF,Portugal,24,2001,3,3,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
576,Alexander Isak,FW,Sweden,26,1999,4,2,228,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
579,Cedric Itten,"FW,MF",Switzerland,29,1996,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
581,Franjo Ivanović,"FW,MF",Croatia,22,2003,7,3,311,3.5,2,1,3,2,0,0,1,0,0.58,0.29,0.87,0.58,0.87,Matches,UEFA
585,Kristijan Jakić,"DF,MF",Croatia,28,1997,5,4,360,4.0,2,0,2,2,0,0,0,0,0.5,0.0,0.5,0.5,0.5,Matches,UEFA
590,Reece James,DF,England,26,1999,6,5,406,4.5,1,1,2,1,0,0,0,0,0.22,0.22,0.44,0.22,0.44,Matches,UEFA
596,Luca Jaquez,DF,Switzerland,22,2003,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
599,Václav Jemelka,DF,Czechia,30,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
609,Herman Johansson,MF,Sweden,28,1997,2,1,115,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
610,Viktor Johansson,GK,Sweden,27,1998,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
612,Max Johnston,DF,Scotland,22,2003,2,1,94,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
615,Curtis Jones,MF,England,25,2001,3,2,164,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
617,Frenkie de Jong,MF,Netherlands,28,1997,7,7,569,6.3,0,3,3,0,0,0,0,0,0.0,0.47,0.47,0.0,0.47,Matches,UEFA
622,Josip Juranović,DF,Croatia,30,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
623,David Jurásek,"MF,DF",Czechia,25,2000,3,2,216,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
