Rk,Player,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,confederation,competition
87,Jorge Carrascal,MF,Colombia,27,1998,7,2,220,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
88,Rafael Carrascal,MF,Colombia,33,1992,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
91,Casemiro,MF,Brazil,33,1992,7,7,593,6.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
93,Kevin Castaño,MF,Colombia,25,2000,9,7,562,6.2,0,1,1,0,0,0,2,0,0.0,0.16,0.16,0.0,0.16,Matches,CONMEBOL,CONMEBOL WCQ
94,Valentín Castellanos,FW,Argentina,27,1998,2,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
107,Jhon Córdoba,FW,Colombia,32,1993,10,5,510,5.7,2,0,2,2,0,0,3,0,0.35,0.0,0.35,0.35,0.35,Matches,CONMEBOL,CONMEBOL WCQ
109,Carlos Coronel,GK,Paraguay,29,1996,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
111,Ángel Correa,"FW,MF",Argentina,30,1995,4,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
114,Yan Couto,DF,Brazil,23,2002,2,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
115,Juan Cuadrado,FW,Colombia,37,1988,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
116,Andrés Cubas,MF,Paraguay,29,1996,13,13,1123,12.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
117,Cucho,MF,Colombia,26,1999,2,1,74,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
121,Hugo Cuenca,MF,Paraguay,21,2005,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
122,Carlos Cuesta,DF,Colombia,26,1999,5,4,331,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
123,Matheus Cunha,MF,Brazil,26,1999,7,2,243,2.7,1,1,2,1,0,0,1,0,0.37,0.37,0.74,0.37,0.74,Matches,CONMEBOL,CONMEBOL WCQ
125,Danilo,DF,Brazil,34,1991,8,7,577,6.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
126,Juan David Cabal,DF,Colombia,25,2001,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
127,Álvaro David Montero,GK,Colombia,30,1995,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
131,Rodrigo De Paul,MF,Argentina,31,1994,17,17,1353,15.0,0,1,1,0,0,0,2,0,0.0,0.07,0.07,0.0,0.07,Matches,CONMEBOL,CONMEBOL WCQ
133,Ángel Di María,FW,Argentina,37,1988,4,1,170,1.9,0,2,2,0,0,0,0,0,0.0,1.06,1.06,0.0,1.06,Matches,CONMEBOL,CONMEBOL WCQ
134,Luis Díaz,"FW,MF",Colombia,29,1997,17,17,1465,16.3,7,3,10,7,0,1,2,0,0.43,0.18,0.61,0.43,0.61,Matches,CONMEBOL,CONMEBOL WCQ
136,Willer Ditta,DF,Colombia,29,1997,2,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
138,Jáder Durán,FW,Colombia,22,2003,10,4,445,4.9,2,1,3,2,0,0,5,0,0.4,0.2,0.61,0.4,0.61,Matches,CONMEBOL,CONMEBOL WCQ
139,Paulo Dybala,"FW,MF",Argentina,32,1993,2,0,18,0.2,1,0,1,1,0,0,0,0,5.0,0.0,5.0,5.0,5.0,Matches,CONMEBOL,CONMEBOL WCQ
141,Ederson,GK,Brazil,32,1993,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
142,Éderson,MF,Brazil,26,1999,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
143,Emerson,DF,Brazil,27,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
144,Julio Enciso,"MF,FW",Paraguay,22,2004,10,9,792,8.8,3,1,4,2,1,2,0,0,0.34,0.11,0.45,0.23,0.34,Matches,CONMEBOL,CONMEBOL WCQ
145,Endrick,FW,Brazil,19,2006,6,1,146,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
146,Alberto Espínola,DF,Paraguay,34,1991,1,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
147,Matías Espinoza,"DF,MF",Paraguay,28,1997,4,4,360,4.0,0,1,1,0,0,0,0,0,0.0,0.25,0.25,0.0,0.25,Matches,CONMEBOL,CONMEBOL WCQ
149,Frank Fabra,DF,Colombia,34,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
150,Andrés Felipe Román,"DF,FW",Colombia,30,1995,1,0,34,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
152,Enzo Fernández,MF,Argentina,25,2001,15,15,1267,14.1,2,3,5,2,0,0,2,1,0.14,0.21,0.36,0.14,0.36,Matches,CONMEBOL,CONMEBOL WCQ
153,Gatito Fernández,GK,Paraguay,37,1988,11,11,990,11.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
158,Juan Foyth,DF,Argentina,28,1998,3,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
160,Matías Galarza,MF,Paraguay,23,2002,7,3,357,4.0,2,1,3,2,0,0,2,0,0.5,0.25,0.76,0.5,0.76,Matches,CONMEBOL,CONMEBOL WCQ
166,Alejandro Garnacho,MF,Argentina,21,2004,3,0,45,0.5,0,1,1,0,0,0,0,0,0.0,2.0,2.0,0.0,2.0,Matches,CONMEBOL,CONMEBOL WCQ
167,Gerson,MF,Brazil,28,1997,10,5,479,5.3,1,0,1,1,0,0,0,0,0.19,0.0,0.19,0.19,0.19,Matches,CONMEBOL,CONMEBOL WCQ
168,Orlando Gill,GK,Paraguay,25,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
169,João Gomes,MF,Brazil,24,2001,2,0,51,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
170,Andrés Gómez,MF,Colombia,23,2002,2,0,10,0.1,1,0,1,1,0,0,0,0,9.0,0.0,9.0,9.0,9.0,Matches,CONMEBOL,CONMEBOL WCQ
171,Diego Gómez,MF,Paraguay,22,2003,13,12,877,9.7,1,2,3,1,0,0,2,1,0.1,0.21,0.31,0.1,0.31,Matches,CONMEBOL,CONMEBOL WCQ
172,Gustavo Gómez,DF,Paraguay,32,1993,15,15,1350,15.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
176,Carlos González Espínola,FW,Paraguay,32,1993,2,0,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
177,Nicolás González,"FW,MF",Argentina,27,1998,12,8,721,8.0,2,2,4,2,0,0,0,1,0.25,0.25,0.5,0.25,0.5,Matches,CONMEBOL,CONMEBOL WCQ
183,Bruno Guimarães,MF,Brazil,28,1997,17,16,1313,14.6,1,2,3,1,0,0,4,0,0.07,0.14,0.21,0.07,0.21,Matches,CONMEBOL,CONMEBOL WCQ
186,Luiz Henrique,"MF,FW",Brazil,25,2001,8,2,292,3.2,2,2,4,2,0,0,0,0,0.62,0.62,1.23,0.62,1.23,Matches,CONMEBOL,CONMEBOL WCQ
189,Marino Hinestroza,MF,Colombia,23,2002,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
192,Roger Ibanez,DF,Brazil,27,1998,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
195,Luis Javier Suárez,FW,Colombia,28,1997,2,1,113,1.3,4,0,4,4,0,0,0,0,3.19,0.0,3.19,3.19,3.19,Matches,CONMEBOL,CONMEBOL WCQ
196,Gabriel Jesus,FW,Brazil,28,1997,5,2,241,2.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
197,Igor Jesus,FW,Brazil,24,2001,4,4,276,3.1,1,1,2,1,0,0,0,0,0.33,0.33,0.65,0.33,0.65,Matches,CONMEBOL,CONMEBOL WCQ
199,João Pedro,FW,Brazil,24,2001,5,2,268,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
200,Joelinton,MF,Brazil,29,1996,5,1,143,1.6,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
201,Kaio Jorge,FW,Brazil,24,2002,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
203,Vinicius Júnior,"FW,MF",Brazil,25,2000,11,11,893,9.9,2,1,3,2,0,1,2,0,0.2,0.1,0.3,0.2,0.3,Matches,CONMEBOL,CONMEBOL WCQ
206,Kaku,MF,Paraguay,31,1995,12,1,214,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
211,Ivan Leguizamon,"FW,MF",Paraguay,23,2002,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
212,Jefferson Lerma,MF,Colombia,31,1994,14,12,1086,12.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
214,Samuel Lino,FW,Brazil,26,1999,1,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
215,Giovani Lo Celso,MF,Argentina,29,1996,9,2,251,2.8,0,2,2,0,0,0,1,0,0.0,0.72,0.72,0.0,0.72,Matches,CONMEBOL,CONMEBOL WCQ
216,Renan Lodi,DF,Brazil,27,1998,3,3,240,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
221,Jean Lucas,MF,Brazil,27,1998,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
222,Jhon Lucumí,DF,Colombia,27,1998,14,14,1260,14.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,CONMEBOL,CONMEBOL WCQ
